n,p,d,rel_imp,irrel_imp,rand_imp,rel_imp_std,irrel_imp_std,rand_imp_std,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.14045380710811245,0.07738270822477632,0.12173606527736153,0.01670066352778364,0.009747009115877255,0.03284059841218796,0.48641304347826086,1.0,0.625,0.5,0.0,0.75
50,60,40,0.010363260169462336,0.010385638782180911,0.009694050498596335,0.0050960291769568365,0.0060364643896060515,0.005199611915963439,0.5687830687830687,1.0,1.0,0.4782608695652174,0.4722222222222222,0.5
50,600,400,0.0004347109138405256,0.0011288428418245778,0.0008789710371660997,0.0008889639203998435,0.005304935968589436,0.004839602373806053,0.5421052631578948,1.0,0.5833333333333333,0.55,0.5152057245080501,0.4825
500,6,4,0.13313835652524583,0.11907901520593787,0.09060672500309669,0.03905546134911381,0.0009137437337932014,0.01150055688582025,0.8551166423136999,0.8744588744588745,0.8927125506072875,0.3333333333333333,1.0,0.0
500,60,40,0.011814385939505583,0.010494496964731285,0.00892666693837292,0.004099548917819892,0.00435714993467006,0.002837556498697434,0.5442079741379311,0.7316770186335403,0.4600694444444444,0.3333333333333333,0.5609756097560976,0.35
500,600,400,0.0010535685004193036,0.001013819273528648,0.0009721664503698654,0.0008284392731384356,0.0005944036295459014,0.0005671354272920618,0.484837528810955,0.5542857142857143,0.7272727272727273,0.4948453608247423,0.5179282868525896,0.475
5000,6,4,0.130929191378465,0.35036254272244177,0.031480172940924575,0.05460541284631653,0.0,0.009841869896527968,0.9113176154500301,0.9029349928517365,0.9102023319615913,0.25,1.0,0.0
5000,60,40,0.00857103368615937,0.012351026263131707,0.007821734220548123,0.0036310437303077184,0.009798471323583144,0.004658880017655328,0.8732198242609461,0.8741678611243828,0.8590032679738563,0.36363636363636365,0.6041666666666666,0.325
5000,600,400,0.0010257310443977867,0.0010391610026792453,0.000955238288131367,0.0005891681566089558,0.0005904071540215637,0.000419413888118359,0.5168406280264063,0.48271832895761807,0.4961218040792876,0.5162241887905604,0.5192307692307693,0.5
