n,p,d,rel_imp,irrel_imp,rand_imp,rel_imp_std,irrel_imp_std,rand_imp_std,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.17072302216840937,0.0991948146837126,0.09024237790301085,0.03292621650679309,0.04142610106379809,0.04979269722469408,1.0,0.888888888888889,0.6666666666666666,0.0,0.3333333333333333,0.25
50,60,40,0.011183952684113183,0.009413564120636845,0.010097019498061757,0.006205835357297742,0.006145785603729309,0.00644504129485206,0.445983379501385,0.875,0.8,0.43478260869565216,0.5,0.45
50,600,400,0.0003582654134061464,0.0006119759383633289,0.0016089370847966334,0.0006214451159357966,0.0013796054235099633,0.01092176353747747,0.7916666666666666,1.0,0.9,0.625,0.4937388193202147,0.52
500,6,4,0.19546076740271837,0.12380511891761511,0.041501864989153675,0.13201074731640836,0.10357079701972116,0.034767683645488365,0.9952920252138205,1.0,0.9948051948051948,0.3333333333333333,0.5,0.25
500,60,40,0.02501630171118073,0.0077837686590599125,0.005764301354432259,0.042519255284671084,0.024418456096158718,0.017769498728864228,0.9844910555497437,0.9074074074074074,0.8904761904761904,0.3333333333333333,0.5121951219512195,0.425
500,600,400,3.9831446214065214e-05,0.0018354825404791719,0.00018681028599172846,0.00016974500122166915,0.014629760895080422,0.0022059150224464754,0.9625389408099689,0.9641666666666667,0.9256965944272446,0.0,0.3565737051792829,0.33
5000,6,4,0.1410806641751393,0.4147476603673485,0.005232420733023582,0.08885680878282565,0.0,0.008330122142510145,0.9207985223604918,0.9304153846153846,0.8977381553516393,0.0,1.0,0.0
5000,60,40,0.0155222044191406,0.01715886644911633,0.00014075404579673946,0.030428241209357765,0.03347008325758436,0.0006953959038930687,0.998633825742817,0.9964674577930022,0.9923583221775993,0.2727272727272727,0.5416666666666666,0.375
5000,600,400,0.0003829492562844827,0.0026678992784067673,0.00044131597433450187,0.0054895235850925895,0.017933525311424982,0.0067049125695699315,0.9881730056232234,0.9248499774532589,0.9314643160063009,0.0,0.11923076923076924,0.11
