n,p,d,rel_imp,irrel_imp,rand_imp,rel_imp_std,irrel_imp_std,rand_imp_std,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.11133304404407711,0.0726349382389418,0.13985727429875508,0.03105657835995422,0.010266999228589728,0.055240607784653846,0.5166666666666666,0.8,0.4,0.5,0.0,0.75
50,60,40,0.011160472375177305,0.010431653026182078,0.009194240660709178,0.005364564240742425,0.005327206021943528,0.004600800391766147,0.7507246376811594,1.0,0.6,0.391304347826087,0.5277777777777778,0.4
50,600,400,0.0008899666373022679,0.0009903495749655517,0.0010269898052554147,0.0009643627853200502,0.0011570005829709053,0.0011639756523174672,0.4222222222222222,1.0,1.0,0.575,0.49731663685152055,0.51
500,6,4,0.15949111113532896,0.12577998830114473,0.06749167249793091,0.0385121749243517,0.02108680950116311,0.014729812194538736,0.9738445845212251,0.9632107023411371,0.9818181818181818,0.0,0.5,0.0
500,60,40,0.010590561420427275,0.011164072205416462,0.00879107335025585,0.0039155378906419,0.004849686043951408,0.003175896215915171,0.525342609059525,0.6582491582491582,0.4603174603174604,0.4444444444444444,0.5853658536585366,0.375
500,600,400,0.0010659720610231946,0.0010045054786015162,0.0009808473995569723,0.0007053877762955099,0.0006173356704969653,0.0005665107168076008,0.5107476635514019,0.6725,0.3622291021671826,0.4742268041237113,0.4960159362549801,0.4975
5000,6,4,0.12619313415596112,0.3609042782552003,0.0335807962802388,0.06941131875339407,0.0,0.011429728586315972,0.9108413714186209,0.9217846153846154,0.8961884696418311,0.0,1.0,0.0
5000,60,40,0.006660226166461341,0.016132314360286632,0.0038096605718791685,0.0028812746248580907,0.022905328904223168,0.0016415281850595772,0.9271947295241976,0.9124969415218986,0.9176149040606871,0.2727272727272727,0.7291666666666666,0.15
5000,600,400,0.000991363830092572,0.0010394334094854566,0.0009841874378309988,0.0004956208751246905,0.0006502368853203406,0.0004818761969656581,0.5693557601365475,0.6048770335426134,0.6025839088816187,0.49852507374631266,0.49230769230769234,0.505
