n,p,d,rel_imp,irrel_imp,rand_imp,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.1282958946357814,0.09786318122653181,0.11245466676221044,0.478125,0.8,1.0,0.5,0.3333333333333333,0.5
50,60,40,0.01015840993389252,0.012008535162063108,0.008351232642155001,0.47058823529411764,1.0,0.75,0.5652173913043478,0.5833333333333334,0.45
50,600,400,0.00048670901487472655,0.0009341655737010315,0.0011458327092653358,0.3422619047619047,1.0,0.75,0.575,0.5134168157423972,0.4875
500,6,4,0.13592516329634352,0.1293555306221135,0.0833783622166856,0.9194565744784085,0.970961887477314,0.9057017543859649,0.0,1.0,0.0
500,60,40,0.00999993659171867,0.01058568853578409,0.009649697784547908,0.5277850727454173,0.71484375,0.5341880341880342,0.3888888888888889,0.5121951219512195,0.425
500,600,400,0.0009388255851625773,0.0010111226171607103,0.0010033759110613838,0.5132524707996406,0.701086956521739,0.4948148148148148,0.4948453608247423,0.4900398406374502,0.51
5000,6,4,0.14100298550253967,0.28147204281223887,0.03862900379440058,0.9024923585950864,0.9172522969034339,0.930055530237818,0.0,1.0,0.0
5000,60,40,0.007645950798929888,0.015337668927482284,0.004492160817315536,0.9097645161163492,0.914606539705354,0.884495867768595,0.09090909090909091,0.6458333333333334,0.2
5000,600,400,0.0010100169078925982,0.0010546540777209752,0.0009584855200423892,0.5501982509774613,0.6065570981352933,0.5198290989547569,0.49557522123893805,0.5230769230769231,0.48
