n,p,d,rel_imp,irrel_imp,rand_imp,rel_imp_std,irrel_imp_std,rand_imp_std,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.1579926536964356,0.08199505760338671,0.10950737994924215,0.08544482604193629,0.018862389149079457,0.03695786195947694,0.9910714285714286,0.75,0.875,0.5,0.3333333333333333,0.5
50,60,40,0.008671412212541127,0.013729531878009064,0.0076573592875806935,0.0074504176867014995,0.014925671700135524,0.009030726131533925,0.5070028011204483,1.0,0.4,0.43478260869565216,0.5277777777777778,0.425
50,600,400,0.001040018864741523,0.0009847938833937992,0.0010197486614830138,0.0011671712465853887,0.0008882039428308037,0.0008464207368729983,0.4444444444444444,1.0,0.1,0.525,0.4937388193202147,0.5125
500,6,4,0.17917561405503302,0.1447993324143113,0.04321862325156956,0.09449785730522801,0.05346661096274188,0.024918250312802304,0.9892762796537022,1.0,0.9896103896103896,0.0,0.5,0.0
500,60,40,0.014876558660758333,0.010465167081833628,0.007578752343779286,0.019380516586366452,0.013600612708660005,0.009952068149291898,0.789831572340203,0.8754208754208753,0.7571428571428571,0.4444444444444444,0.5365853658536586,0.425
500,600,400,0.0008365325392476989,0.0012387983133100825,0.0007424489760282798,0.0018487989245342623,0.0024754981963428474,0.0005923535341294987,0.8091121495327104,0.7808333333333334,0.8513931888544891,0.5567010309278351,0.5438247011952191,0.4575
5000,6,4,0.12344949199465471,0.39241517516017715,0.028446714215300976,0.016945564300461426,0.0,0.022562383835997745,0.9196405405573487,0.9324615384615385,0.8990440702756352,0.0,1.0,0.0
5000,60,40,0.009935096715409679,0.01767227188908127,0.0010611221363648169,0.013717454972664387,0.034310141840841364,0.0008207508523943903,0.9984741173515503,0.9983178370442868,0.993734196043433,0.36363636363636365,0.6666666666666666,0.275
5000,600,400,0.00025531380600584227,0.0032217858386494103,0.00018946075428793224,0.000882938010436793,0.017407387949598084,0.00037073159191188947,0.9982180524951021,0.920514065697735,0.9299497152550587,0.5486725663716814,0.5576923076923077,0.5025
