n,p,d,rel_imp,irrel_imp,rand_imp,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.14257212874118458,0.10640576060009484,0.09890961517933658,0.8695652173913043,1.0,0.4166666666666667,0.0,0.3333333333333333,0.25
50,60,40,0.011169759615995572,0.010225031964659265,0.00937485945260921,0.7105263157894737,1.0,0.0,0.391304347826087,0.4722222222222222,0.475
50,600,400,0.0005220524575961368,0.0008941707017869564,0.0011981911984931147,0.36607142857142855,1.0,0.75,0.6,0.5116279069767442,0.4925
500,6,4,0.16697425615742914,0.179926256756581,0.034806179503637666,0.9967734109655507,1.0,0.9649122807017544,0.0,0.5,0.0
500,60,40,0.012535896187503181,0.01033651943004937,0.008763914299822963,0.7233047954199274,0.75,0.6467236467236467,0.4444444444444444,0.43902439024390244,0.525
500,600,400,0.001063451424817738,0.0011358793940305938,0.0008165843899733033,0.6557851652191274,0.8423913043478262,0.6103703703703703,0.4948453608247423,0.5039840637450199,0.4925
5000,6,4,0.13898829296447096,0.3577346038946556,0.02157805606186516,0.9074086722789014,0.9212765013093459,0.9208398737488819,0.0,1.0,0.0
5000,60,40,0.004211392525047311,0.019658497797366486,0.000251669698772211,0.997417560490371,0.9973948975925261,0.9978512396694215,0.6363636363636364,0.6041666666666666,0.4
5000,600,400,9.299675553226546e-05,0.003282357473386404,0.0002876528919852427,0.9918471866636042,0.9135956108657834,0.9418367346938775,0.5221238938053098,0.5269230769230769,0.5
