n,p,d,rel_imp,irrel_imp,rand_imp,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.14364942984507148,0.17331970099294544,0.04818550933275519,0.7102564102564103,1.0,0.0,0.5,1.0,0.0
50,60,40,0.004123256926503849,0.016367300163550882,0.007898557120064494,0.6641414141414141,1.0,0.0,0.0,0.4166666666666667,0.35
50,600,400,1.0191904710096102e-10,0.0005620085865884421,0.0017145929900507474,1.0,1.0,0.6666666666666667,0.0,0.012522361359570662,0.0125
500,6,4,0.22634010646677136,0.16048984029984292,0.0,0.9913164020610468,1.0,0.987012987012987,0.0,0.5,0.0
500,60,40,0.0002972404124409708,0.023563734126380246,0.0007134143348618124,1.0,0.9713804713804715,0.8428571428571429,0.0,0.0975609756097561,0.05
500,600,400,0.0,0.001914958456051782,9.672713765501347e-05,0.993613707165109,0.9525000000000001,0.931888544891641,0.0,0.00796812749003984,0.01
5000,6,4,0.03308940219363071,0.8566313317977763,0.0027527648569251975,0.9055459989925186,0.9193384615384614,0.8819975274677438,0.5,1.0,0.5
5000,60,40,8.960304052299169e-11,0.01646915928624736,0.005237008831862329,0.9967786372473592,0.9973085392708588,0.9945894689870594,0.0,0.10416666666666667,0.025
5000,600,400,5.0263125693276543e-05,0.003780618463038382,0.0,0.8630286198093081,0.8701828020396128,0.8396795104810373,0.0,0.011538461538461539,0.0
